id_equipement,type,marque,numero_serie,date_installation,statut,id_etablissement
1,Respirateur,Adam Roger SARL,MT-00001,2023-06-30,Actif,6
2,Respirateur,Dupont S.A.S.,MT-00002,2024-11-09,En maintenance,13
3,Respirateur,Berthelot,MT-00003,2023-02-18,Actif,7
4,Défibrillateur,Labbé,MT-00004,2022-08-24,En maintenance,3
5,ECG,Da Costa,MT-00005,2025-03-20,Hors service,15
6,Pousse-seringue,Peron Colin S.A.R.L.,MT-00006,2023-08-12,Actif,13
7,Pousse-seringue,Peron,MT-00007,2023-03-08,Actif,14
8,Scope,David,MT-00008,2023-01-31,En maintenance,9
9,Défibrillateur,Hamon et Fils,MT-00009,2023-09-11,Hors service,2
10,Pousse-seringue,Maillot et Fils,MT-00010,2023-04-07,Actif,13
11,Respirateur,Maury,MT-00011,2024-07-16,Hors service,4
12,ECG,Mercier,MT-00012,2024-04-21,Actif,12
13,Scope,Baron S.A.S.,MT-00013,2024-09-02,Actif,3
14,ECG,Lamy,MT-00014,2022-11-17,Actif,7
15,Défibrillateur,Pascal Charrier et Fils,MT-00015,2024-06-16,Actif,14
16,Scope,Carpentier,MT-00016,2024-09-28,En maintenance,7
17,Respirateur,Chauvin et Fils,MT-00017,2024-12-20,Actif,2
18,Défibrillateur,Blin,MT-00018,2024-08-29,Actif,3
19,Défibrillateur,Lemonnier,MT-00019,2024-12-09,Hors service,2
20,Défibrillateur,Collet,MT-00020,2024-03-24,Hors service,1
21,ECG,Bernard,MT-00021,2023-12-21,Actif,15
22,ECG,Petitjean S.A.,MT-00022,2022-10-15,Hors service,12
23,Défibrillateur,Charles et Fils,MT-00023,2024-03-26,Actif,2
24,Scope,Devaux,MT-00024,2024-02-08,En maintenance,11
25,Défibrillateur,Laurent,MT-00025,2023-02-09,En maintenance,4
26,Respirateur,Roussel,MT-00026,2024-04-09,Actif,5
27,Scope,Lombard Garcia S.A.R.L.,MT-00027,2022-08-25,Actif,8
28,Défibrillateur,Leblanc SARL,MT-00028,2024-06-24,Actif,2
29,ECG,Guillot Fournier SARL,MT-00029,2022-10-26,Hors service,4
30,Défibrillateur,Chrétien S.A.,MT-00030,2023-02-01,Actif,7
31,Scope,Vallée SA,MT-00031,2023-01-24,En maintenance,13
